
WLA DX: 6809 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



"ABX" $3A
"LDY B,S" $10AEE5
"LDY B,U" $10AEC5
"LDY B,X" $10AE85
"LDY B,Y" $10AEA5
"LDY D,S" $10AEEB
"LDY D,U" $10AECB
"LDY D,X" $10AE8B
"LDY D,Y" $10AEAB
"LDY s,S" $10AE60
"LDY s,U" $10AE40
"LDY s,X" $10AE00
"LDY s,Y" $10AE20
"LDY x" $109E
"LDY x,PCR" $10AE8C
"LDY x,S" $10AEE8
"LDY x,U" $10AEC8
"LDY x,X" $10AE88
"LDY x,Y" $10AEA8
"LDY,--S" $10AEE3
"LDY,--U" $10AEC3
"LDY,--X" $10AE83
"LDY,--Y" $10AEA3
"LDY,-S" $10AEE2
"LDY,-U" $10AEC2
"LDY,-X" $10AE82
"LDY,-Y" $10AEA2
"LDY,S" $10AEE4
"LDY,S+" $10AEE0
"LDY,S++" $10AEE1
"LDY,U" $10AEC4
"LDY,U+" $10AEC0
"LDY,U++" $10AEC1
"LDY,X" $10AE84
"LDY,X+" $10AE80
"LDY,X++" $10AE81
"LDY,Y" $10AEA4
"LDY,Y+" $10AEA0
"LDY,Y++" $10AEA1
"LEAS (,--S)" $32F3
"LEAS (,--U)" $32D3
"LEAS (,--X)" $3293
"LEAS (,--Y)" $32B3
"LEAS (,S)" $32F4
"LEAS (,S++)" $32F1
"LEAS (,U)" $32D4
"LEAS (,U++)" $32D1
"LEAS (,X)" $3294
"LEAS (,X++)" $3291
"LEAS (,Y)" $32B4
"LEAS (,Y++)" $32B1
"LEAS (?)" $329F
"LEAS (?,PCR)" $329D
"LEAS (?,S)" $32F9
"LEAS (?,U)" $32D9
"LEAS (?,X)" $3299
"LEAS (?,Y)" $32B9
"LEAS (A,S)" $32F6
"LEAS (A,U)" $32D6
"LEAS (A,X)" $3296
"LEAS (A,Y)" $32B6
"LEAS (B,S)" $32F5
"LEAS (B,U)" $32D5
"LEAS (B,X)" $3295
"LEAS (B,Y)" $32B5
"LEAS (D,S)" $32FB
"LEAS (D,U)" $32DB
"LEAS (D,X)" $329B
"LEAS (D,Y)" $32BB
"LEAS (x,PCR)" $329C
"LEAS (x,S)" $32F8
"LEAS (x,U)" $32D8
"LEAS (x,X)" $3298
"LEAS (x,Y)" $32B8
"LEAS ?,PCR" $328D
"LEAS ?,S" $32E9
"LEAS ?,U" $32C9
"LEAS ?,X" $3289
"LEAS ?,Y" $32A9
"LEAS A,S" $32E6
"LEAS A,U" $32C6
"LEAS A,X" $3286
"LEAS A,Y" $32A6
"LEAS B,S" $32E5
"LEAS B,U" $32C5
"LEAS B,X" $3285
"LEAS B,Y" $32A5
"LEAS D,S" $32EB
"LEAS D,U" $32CB
"LEAS D,X" $328B
"LEAS D,Y" $32AB
"LEAS s,S" $3260
"LEAS s,U" $3240
"LEAS s,X" $3200
"LEAS s,Y" $3220
"LEAS x,PCR" $328C
"LEAS x,S" $32E8
"LEAS x,U" $32C8
"LEAS x,X" $3288
"LEAS x,Y" $32A8
"LEAS,--S" $32E3
"LEAS,--U" $32C3
"LEAS,--X" $3283
"LEAS,--Y" $32A3
"LEAS,-S" $32E2
"LEAS,-U" $32C2
"LEAS,-X" $3282
"LEAS,-Y" $32A2
"LEAS,S" $32E4
"LEAS,S+" $32E0
"LEAS,S++" $32E1
"LEAS,U" $32C4
"LEAS,U+" $32C0
"LEAS,U++" $32C1
"LEAS,X" $3284
"LEAS,X+" $3280
"LEAS,X++" $3281
"LEAS,Y" $32A4
"LEAS,Y+" $32A0
"LEAS,Y++" $32A1
"LEAU (,--S)" $33F3
"LEAU (,--U)" $33D3
"LEAU (,--X)" $3393
"LEAU (,--Y)" $33B3
"LEAU (,S)" $33F4
"LEAU (,S++)" $33F1
"LEAU (,U)" $33D4
"LEAU (,U++)" $33D1
"LEAU (,X)" $3394
"LEAU (,X++)" $3391
"LEAU (,Y)" $33B4
"LEAU (,Y++)" $33B1
"LEAU (?)" $339F
"LEAU (?,PCR)" $339D
"LEAU (?,S)" $33F9
"LEAU (?,U)" $33D9
"LEAU (?,X)" $3399
"LEAU (?,Y)" $33B9
"LEAU (A,S)" $33F6
"LEAU (A,U)" $33D6
"LEAU (A,X)" $3396
"LEAU (A,Y)" $33B6
"LEAU (B,S)" $33F5
"LEAU (B,U)" $33D5
"LEAU (B,X)" $3395
"LEAU (B,Y)" $33B5
"LEAU (D,S)" $33FB
"LEAU (D,U)" $33DB
"LEAU (D,X)" $339B
"LEAU (D,Y)" $33BB
"LEAU (x,PCR)" $339C
"LEAU (x,S)" $33F8
"LEAU (x,U)" $33D8
"LEAU (x,X)" $3398
"LEAU (x,Y)" $33B8
"LEAU ?,PCR" $338D
"LEAU ?,S" $33E9
"LEAU ?,U" $33C9
"LEAU ?,X" $3389
"LEAU ?,Y" $33A9
"LEAU A,S" $33E6
"LEAU A,U" $33C6
"LEAU A,X" $3386
"LEAU A,Y" $33A6
"LEAU B,S" $33E5
"LEAU B,U" $33C5
"LEAU B,X" $3385
"LEAU B,Y" $33A5
"LEAU D,S" $33EB
"LEAU D,U" $33CB
"LEAU D,X" $338B
"LEAU D,Y" $33AB
"LEAU s,S" $3360
"LEAU s,U" $3340
"LEAU s,X" $3300
"LEAU s,Y" $3320
"LEAU x,PCR" $338C
"LEAU x,S" $33E8
"LEAU x,U" $33C8
"LEAU x,X" $3388
"LEAU x,Y" $33A8
"LEAU,--S" $33E3
"LEAU,--U" $33C3
"LEAU,--X" $3383
"LEAU,--Y" $33A3
"LEAU,-S" $33E2
"LEAU,-U" $33C2
"LEAU,-X" $3382
"LEAU,-Y" $33A2
"LEAU,S" $33E4
"LEAU,S+" $33E0
"LEAU,S++" $33E1
"LEAU,U" $33C4
"LEAU,U+" $33C0
"LEAU,U++" $33C1
"LEAU,X" $3384
"LEAU,X+" $3380
"LEAU,X++" $3381
"LEAU,Y" $33A4
"LEAU,Y+" $33A0
"LEAU,Y++" $33A1
"LEAX (,--S)" $30F3
"LEAX (,--U)" $30D3
"LEAX (,--X)" $3093
"LEAX (,--Y)" $30B3
"LEAX (,S)" $30F4
"LEAX (,S++)" $30F1
"LEAX (,U)" $30D4
"LEAX (,U++)" $30D1
"LEAX (,X)" $3094
"LEAX (,X++)" $3091
"LEAX (,Y)" $30B4
"LEAX (,Y++)" $30B1
"LEAX (?)" $309F
"LEAX (?,PCR)" $309D
"LEAX (?,S)" $30F9
"LEAX (?,U)" $30D9
"LEAX (?,X)" $3099
"LEAX (?,Y)" $30B9
"LEAX (A,S)" $30F6
"LEAX (A,U)" $30D6
"LEAX (A,X)" $3096
"LEAX (A,Y)" $30B6
"LEAX (B,S)" $30F5
"LEAX (B,U)" $30D5
"LEAX (B,X)" $3095
"LEAX (B,Y)" $30B5
"LEAX (D,S)" $30FB
"LEAX (D,U)" $30DB
"LEAX (D,X)" $309B
"LEAX (D,Y)" $30BB
"LEAX (x,PCR)" $309C
"LEAX (x,S)" $30F8
"LEAX (x,U)" $30D8
"LEAX (x,X)" $3098
"LEAX (x,Y)" $30B8
"LEAX ?,PCR" $308D
"LEAX ?,S" $30E9
"LEAX ?,U" $30C9
"LEAX ?,X" $3089
"LEAX ?,Y" $30A9
"LEAX A,S" $30E6
"LEAX A,U" $30C6
"LEAX A,X" $3086
"LEAX A,Y" $30A6
"LEAX B,S" $30E5
"LEAX B,U" $30C5
"LEAX B,X" $3085
"LEAX B,Y" $30A5
"LEAX D,S" $30EB
"LEAX D,U" $30CB
"LEAX D,X" $308B
"LEAX D,Y" $30AB
"LEAX s,S" $3060
"LEAX s,U" $3040
"LEAX s,X" $3000
"LEAX s,Y" $3020
"LEAX x,PCR" $308C
"LEAX x,S" $30E8
"LEAX x,U" $30C8
"LEAX x,X" $3088
"LEAX x,Y" $30A8
"LEAX,--S" $30E3
"LEAX,--U" $30C3
"LEAX,--X" $3083
"LEAX,--Y" $30A3
"LEAX,-S" $30E2
"LEAX,-U" $30C2
"LEAX,-X" $3082
"LEAX,-Y" $30A2
"LEAX,S" $30E4
"LEAX,S+" $30E0
"LEAX,S++" $30E1
"LEAX,U" $30C4
"LEAX,U+" $30C0
"LEAX,U++" $30C1
"LEAX,X" $3084
"LEAX,X+" $3080
"LEAX,X++" $3081
"LEAX,Y" $30A4
"LEAX,Y+" $30A0
"LEAX,Y++" $30A1
"LEAY (,--S)" $31F3
"LEAY (,--U)" $31D3
"LEAY (,--X)" $3193
"LEAY (,--Y)" $31B3
"LEAY (,S)" $31F4
"LEAY (,S++)" $31F1
"LEAY (,U)" $31D4
"LEAY (,U++)" $31D1
"LEAY (,X)" $3194
"LEAY (,X++)" $3191
"LEAY (,Y)" $31B4
"LEAY (,Y++)" $31B1
"LEAY (?)" $319F
"LEAY (?,PCR)" $319D
"LEAY (?,S)" $31F9
"LEAY (?,U)" $31D9
"LEAY (?,X)" $3199
"LEAY (?,Y)" $31B9
"LEAY (A,S)" $31F6
"LEAY (A,U)" $31D6
"LEAY (A,X)" $3196
"LEAY (A,Y)" $31B6
"LEAY (B,S)" $31F5
"LEAY (B,U)" $31D5
"LEAY (B,X)" $3195
"LEAY (B,Y)" $31B5
"LEAY (D,S)" $31FB
"LEAY (D,U)" $31DB
"LEAY (D,X)" $319B
"LEAY (D,Y)" $31BB
"LEAY (x,PCR)" $319C
"LEAY (x,S)" $31F8
"LEAY (x,U)" $31D8
"LEAY (x,X)" $3198
"LEAY (x,Y)" $31B8
"LEAY ?,PCR" $318D
"LEAY ?,S" $31E9
"LEAY ?,U" $31C9
"LEAY ?,X" $3189
"LEAY ?,Y" $31A9
"LEAY A,S" $31E6
"LEAY A,U" $31C6
"LEAY A,X" $3186
"LEAY A,Y" $31A6
"LEAY B,S" $31E5
"LEAY B,U" $31C5
"LEAY B,X" $3185
"LEAY B,Y" $31A5
"LEAY D,S" $31EB
"LEAY D,U" $31CB
"LEAY D,X" $318B
"LEAY D,Y" $31AB
"LEAY s,S" $3160
"LEAY s,U" $3140
"LEAY s,X" $3100
"LEAY s,Y" $3120
"LEAY x,PCR" $318C
"LEAY x,S" $31E8
"LEAY x,U" $31C8
"LEAY x,X" $3188
"LEAY x,Y" $31A8
"LEAY,--S" $31E3
"LEAY,--U" $31C3
"LEAY,--X" $3183
"LEAY,--Y" $31A3
"LEAY,-S" $31E2
"LEAY,-U" $31C2
"LEAY,-X" $3182
"LEAY,-Y" $31A2
"LEAY,S" $31E4
"LEAY,S+" $31E0
"LEAY,S++" $31E1
"LEAY,U" $31C4
"LEAY,U+" $31C0
"LEAY,U++" $31C1
"LEAY,X" $3184
"LEAY,X+" $3180
"LEAY,X++" $3181
"LEAY,Y" $31A4
"LEAY,Y+" $31A0
"LEAY,Y++" $31A1
"LSL (,--S)" $68F3
"LSL (,--U)" $68D3
"LSL (,--X)" $6893
"LSL (,--Y)" $68B3
"LSL (,S)" $68F4
"LSL (,S++)" $68F1
"LSL (,U)" $68D4
"LSL (,U++)" $68D1
"LSL (,X)" $6894
"LSL (,X++)" $6891
"LSL (,Y)" $68B4
"LSL (,Y++)" $68B1
"LSL (?)" $689F
"LSL (?,PCR)" $689D
"LSL (?,S)" $68F9
"LSL (?,U)" $68D9
"LSL (?,X)" $6899
"LSL (?,Y)" $68B9
"LSL (A,S)" $68F6
"LSL (A,U)" $68D6
"LSL (A,X)" $6896
"LSL (A,Y)" $68B6
"LSL (B,S)" $68F5
"LSL (B,U)" $68D5
"LSL (B,X)" $6895
"LSL (B,Y)" $68B5
"LSL (D,S)" $68FB
"LSL (D,U)" $68DB
"LSL (D,X)" $689B
"LSL (D,Y)" $68BB
"LSL (x,PCR)" $689C
"LSL (x,S)" $68F8
"LSL (x,U)" $68D8
"LSL (x,X)" $6898
"LSL (x,Y)" $68B8
"LSL ?" $78
"LSL ?,PCR" $688D
"LSL ?,S" $68E9
"LSL ?,U" $68C9
"LSL ?,X" $6889
"LSL ?,Y" $68A9
"LSL A,S" $68E6
"LSL A,U" $68C6
"LSL A,X" $6886
"LSL A,Y" $68A6
"LSL B,S" $68E5
"LSL B,U" $68C5
"LSL B,X" $6885
"LSL B,Y" $68A5
"LSL D,S" $68EB
"LSL D,U" $68CB
"LSL D,X" $688B
"LSL D,Y" $68AB
"LSL s,S" $6860
"LSL s,U" $6840
"LSL s,X" $6800
"LSL s,Y" $6820
"LSL x" $08
"LSL x,PCR" $688C
"LSL x,S" $68E8
"LSL x,U" $68C8
"LSL x,X" $6888
"LSL x,Y" $68A8
"LSL,--S" $68E3
"LSL,--U" $68C3
"LSL,--X" $6883
"LSL,--Y" $68A3
"LSL,-S" $68E2
"LSL,-U" $68C2
"LSL,-X" $6882
"LSL,-Y" $68A2
"LSL,S" $68E4
"LSL,S+" $68E0
"LSL,S++" $68E1
"LSL,U" $68C4
"LSL,U+" $68C0
"LSL,U++" $68C1
"LSL,X" $6884
"LSL,X+" $6880
"LSL,X++" $6881
"LSL,Y" $68A4
"LSL,Y+" $68A0
"LSL,Y++" $68A1
"LSLA" $48
"LSLB" $58
"LSR (,--S)" $64F3
"LSR (,--U)" $64D3
"LSR (,--X)" $6493
"LSR (,--Y)" $64B3
"LSR (,S)" $64F4
"LSR (,S++)" $64F1
"LSR (,U)" $64D4
"LSR (,U++)" $64D1
"LSR (,X)" $6494
"LSR (,X++)" $6491
"LSR (,Y)" $64B4
"LSR (,Y++)" $64B1
"LSR (?)" $649F
"LSR (?,PCR)" $649D
"LSR (?,S)" $64F9
"LSR (?,U)" $64D9
"LSR (?,X)" $6499
"LSR (?,Y)" $64B9
"LSR (A,S)" $64F6
"LSR (A,U)" $64D6
"LSR (A,X)" $6496
"LSR (A,Y)" $64B6
"LSR (B,S)" $64F5
"LSR (B,U)" $64D5
"LSR (B,X)" $6495
"LSR (B,Y)" $64B5
"LSR (D,S)" $64FB
"LSR (D,U)" $64DB
"LSR (D,X)" $649B
"LSR (D,Y)" $64BB
"LSR (x,PCR)" $649C
"LSR (x,S)" $64F8
"LSR (x,U)" $64D8
"LSR (x,X)" $6498
"LSR (x,Y)" $64B8
"LSR ?" $74
"LSR ?,PCR" $648D
"LSR ?,S" $64E9
"LSR ?,U" $64C9
"LSR ?,X" $6489
"LSR ?,Y" $64A9
"LSR A,S" $64E6
"LSR A,U" $64C6
"LSR A,X" $6486
"LSR A,Y" $64A6
"LSR B,S" $64E5
"LSR B,U" $64C5
"LSR B,X" $6485
"LSR B,Y" $64A5
"LSR D,S" $64EB
"LSR D,U" $64CB
"LSR D,X" $648B
"LSR D,Y" $64AB
"LSR s,S" $6460
"LSR s,U" $6440
"LSR s,X" $6400
"LSR s,Y" $6420
"LSR x" $04
"LSR x,PCR" $648C
"LSR x,S" $64E8
"LSR x,U" $64C8
"LSR x,X" $6488
"LSR x,Y" $64A8
"LSR,--S" $64E3
"LSR,--U" $64C3
"LSR,--X" $6483
"LSR,--Y" $64A3
"LSR,-S" $64E2
"LSR,-U" $64C2
"LSR,-X" $6482
"LSR,-Y" $64A2
"LSR,S" $64E4
"LSR,S+" $64E0
"LSR,S++" $64E1
"LSR,U" $64C4
"LSR,U+" $64C0
"LSR,U++" $64C1
"LSR,X" $6484
"LSR,X+" $6480
"LSR,X++" $6481
"LSR,Y" $64A4
"LSR,Y+" $64A0
"LSR,Y++" $64A1
"LSRA" $44
"LSRB" $54
"MUL" $3D
"NEG (,--S)" $60F3
"NEG (,--U)" $60D3
"NEG (,--X)" $6093
"NEG (,--Y)" $60B3
"NEG (,S)" $60F4
"NEG (,S++)" $60F1
"NEG (,U)" $60D4
"NEG (,U++)" $60D1
"NEG (,X)" $6094
"NEG (,X++)" $6091
"NEG (,Y)" $60B4
"NEG (,Y++)" $60B1
"NEG (?)" $609F
"NEG (?,PCR)" $609D
"NEG (?,S)" $60F9
"NEG (?,U)" $60D9
"NEG (?,X)" $6099
"NEG (?,Y)" $60B9
"NEG (A,S)" $60F6
"NEG (A,U)" $60D6
"NEG (A,X)" $6096
"NEG (A,Y)" $60B6
"NEG (B,S)" $60F5
"NEG (B,U)" $60D5
"NEG (B,X)" $6095
"NEG (B,Y)" $60B5
"NEG (D,S)" $60FB
"NEG (D,U)" $60DB
"NEG (D,X)" $609B
"NEG (D,Y)" $60BB
"NEG (x,PCR)" $609C
"NEG (x,S)" $60F8
"NEG (x,U)" $60D8
"NEG (x,X)" $6098
"NEG (x,Y)" $60B8
"NEG ?" $70
"NEG ?,PCR" $608D
"NEG ?,S" $60E9
"NEG ?,U" $60C9
"NEG ?,X" $6089
"NEG ?,Y" $60A9
"NEG A,S" $60E6
"NEG A,U" $60C6
"NEG A,X" $6086
"NEG A,Y" $60A6
"NEG B,S" $60E5
"NEG B,U" $60C5
"NEG B,X" $6085
"NEG B,Y" $60A5
"NEG D,S" $60EB
"NEG D,U" $60CB
"NEG D,X" $608B
"NEG D,Y" $60AB
"NEG s,S" $6060
"NEG s,U" $6040
"NEG s,X" $6000
"NEG s,Y" $6020
"NEG x" $00
"NEG x,PCR" $608C
"NEG x,S" $60E8
"NEG x,U" $60C8
"NEG x,X" $6088
"NEG x,Y" $60A8
"NEG,--S" $60E3
"NEG,--U" $60C3
"NEG,--X" $6083
"NEG,--Y" $60A3
"NEG,-S" $60E2
"NEG,-U" $60C2
"NEG,-X" $6082
"NEG,-Y" $60A2
"NEG,S" $60E4
"NEG,S+" $60E0
"NEG,S++" $60E1
"NEG,U" $60C4
"NEG,U+" $60C0
"NEG,U++" $60C1
"NEG,X" $6084
"NEG,X+" $6080
"NEG,X++" $6081
"NEG,Y" $60A4
"NEG,Y+" $60A0
"NEG,Y++" $60A1
"NEGA" $40
"NEGB" $50
"NOP" $12
"ORA #x" $8A
"ORA (,--S)" $AAF3
"ORA (,--U)" $AAD3
"ORA (,--X)" $AA93
"ORA (,--Y)" $AAB3
"ORA (,S)" $AAF4
"ORA (,S++)" $AAF1
"ORA (,U)" $AAD4
"ORA (,U++)" $AAD1
"ORA (,X)" $AA94
"ORA (,X++)" $AA91
"ORA (,Y)" $AAB4
"ORA (,Y++)" $AAB1
"ORA (?)" $AA9F
"ORA (?,PCR)" $AA9D
"ORA (?,S)" $AAF9
"ORA (?,U)" $AAD9
"ORA (?,X)" $AA99
"ORA (?,Y)" $AAB9
"ORA (A,S)" $AAF6
"ORA (A,U)" $AAD6
"ORA (A,X)" $AA96
"ORA (A,Y)" $AAB6
"ORA (B,S)" $AAF5
"ORA (B,U)" $AAD5
"ORA (B,X)" $AA95
"ORA (B,Y)" $AAB5
"ORA (D,S)" $AAFB
"ORA (D,U)" $AADB
"ORA (D,X)" $AA9B
"ORA (D,Y)" $AABB
"ORA (x,PCR)" $AA9C
"ORA (x,S)" $AAF8
"ORA (x,U)" $AAD8
"ORA (x,X)" $AA98
"ORA (x,Y)" $AAB8
"ORA ?" $BA
"ORA ?,PCR" $AA8D
"ORA ?,S" $AAE9
"ORA ?,U" $AAC9
"ORA ?,X" $AA89
"ORA ?,Y" $AAA9
"ORA A,S" $AAE6
"ORA A,U" $AAC6
"ORA A,X" $AA86
"ORA A,Y" $AAA6
"ORA B,S" $AAE5
"ORA B,U" $AAC5
"ORA B,X" $AA85
"ORA B,Y" $AAA5
"ORA D,S" $AAEB
"ORA D,U" $AACB
"ORA D,X" $AA8B
"ORA D,Y" $AAAB
"ORA s,S" $AA60
"ORA s,U" $AA40
"ORA s,X" $AA00
"ORA s,Y" $AA20
"ORA x" $9A
"ORA x,PCR" $AA8C
"ORA x,S" $AAE8
"ORA x,U" $AAC8
"ORA x,X" $AA88
"ORA x,Y" $AAA8
"ORA,--S" $AAE3
"ORA,--U" $AAC3
"ORA,--X" $AA83
"ORA,--Y" $AAA3
"ORA,-S" $AAE2
"ORA,-U" $AAC2
"ORA,-X" $AA82
"ORA,-Y" $AAA2
"ORA,S" $AAE4
"ORA,S+" $AAE0
"ORA,S++" $AAE1
"ORA,U" $AAC4
"ORA,U+" $AAC0
"ORA,U++" $AAC1
"ORA,X" $AA84
"ORA,X+" $AA80
"ORA,X++" $AA81
"ORA,Y" $AAA4
"ORA,Y+" $AAA0
"ORA,Y++" $AAA1
"ORB #x" $CA
"ORB (,--S)" $EAF3
"ORB (,--U)" $EAD3
"ORB (,--X)" $EA93
"ORB (,--Y)" $EAB3
"ORB (,S)" $EAF4
"ORB (,S++)" $EAF1
"ORB (,U)" $EAD4
"ORB (,U++)" $EAD1
"ORB (,X)" $EA94
"ORB (,X++)" $EA91
"ORB (,Y)" $EAB4
"ORB (,Y++)" $EAB1
"ORB (?)" $EA9F
"ORB (?,PCR)" $EA9D
"ORB (?,S)" $EAF9
"ORB (?,U)" $EAD9
"ORB (?,X)" $EA99
"ORB (?,Y)" $EAB9
"ORB (A,S)" $EAF6
"ORB (A,U)" $EAD6
"ORB (A,X)" $EA96
"ORB (A,Y)" $EAB6
"ORB (B,S)" $EAF5
"ORB (B,U)" $EAD5
"ORB (B,X)" $EA95
"ORB (B,Y)" $EAB5
"ORB (D,S)" $EAFB
"ORB (D,U)" $EADB
"ORB (D,X)" $EA9B
"ORB (D,Y)" $EABB
"ORB (x,PCR)" $EA9C
"ORB (x,S)" $EAF8
"ORB (x,U)" $EAD8
"ORB (x,X)" $EA98
"ORB (x,Y)" $EAB8
"ORB ?" $FA
"ORB ?,PCR" $EA8D
"ORB ?,S" $EAE9
"ORB ?,U" $EAC9
"ORB ?,X" $EA89
"ORB ?,Y" $EAA9
"ORB A,S" $EAE6
"ORB A,U" $EAC6
"ORB A,X" $EA86
"ORB A,Y" $EAA6
"ORB B,S" $EAE5
"ORB B,U" $EAC5
"ORB B,X" $EA85
"ORB B,Y" $EAA5
"ORB D,S" $EAEB
"ORB D,U" $EACB
"ORB D,X" $EA8B
"ORB D,Y" $EAAB
"ORB s,S" $EA60
"ORB s,U" $EA40
"ORB s,X" $EA00
"ORB s,Y" $EA20
"ORB x" $DA
"ORB x,PCR" $EA8C
"ORB x,S" $EAE8
"ORB x,U" $EAC8
"ORB x,X" $EA88
"ORB x,Y" $EAA8
"ORB,--S" $EAE3
"ORB,--U" $EAC3
"ORB,--X" $EA83
"ORB,--Y" $EAA3
"ORB,-S" $EAE2
"ORB,-U" $EAC2
"ORB,-X" $EA82
"ORB,-Y" $EAA2
"ORB,S" $EAE4
"ORB,S+" $EAE0
"ORB,S++" $EAE1
"ORB,U" $EAC4
"ORB,U+" $EAC0
"ORB,U++" $EAC1
"ORB,X" $EA84
"ORB,X+" $EA80
"ORB,X++" $EA81
"ORB,Y" $EAA4
"ORB,Y+" $EAA0
"ORB,Y++" $EAA1
"ORCC #x" $1A
"PSHS r" $34
"PSHU r" $36
"PULS r" $35
"PULU r" $37
"ROL (,--S)" $69F3
"ROL (,--U)" $69D3
"ROL (,--X)" $6993
"ROL (,--Y)" $69B3
"ROL (,S)" $69F4
"ROL (,S++)" $69F1
"ROL (,U)" $69D4
"ROL (,U++)" $69D1
"ROL (,X)" $6994
"ROL (,X++)" $6991
"ROL (,Y)" $69B4
"ROL (,Y++)" $69B1
"ROL (?)" $699F
"ROL (?,PCR)" $699D
"ROL (?,S)" $69F9
"ROL (?,U)" $69D9
"ROL (?,X)" $6999
"ROL (?,Y)" $69B9
"ROL (A,S)" $69F6
"ROL (A,U)" $69D6
"ROL (A,X)" $6996
"ROL (A,Y)" $69B6
"ROL (B,S)" $69F5
"ROL (B,U)" $69D5
"ROL (B,X)" $6995
"ROL (B,Y)" $69B5
"ROL (D,S)" $69FB
"ROL (D,U)" $69DB
"ROL (D,X)" $699B
"ROL (D,Y)" $69BB
"ROL (x,PCR)" $699C
"ROL (x,S)" $69F8
"ROL (x,U)" $69D8
"ROL (x,X)" $6998
"ROL (x,Y)" $69B8
"ROL ?" $79
"ROL ?,PCR" $698D
"ROL ?,S" $69E9
"ROL ?,U" $69C9
"ROL ?,X" $6989
"ROL ?,Y" $69A9
"ROL A,S" $69E6
"ROL A,U" $69C6
"ROL A,X" $6986
"ROL A,Y" $69A6
"ROL B,S" $69E5
"ROL B,U" $69C5
"ROL B,X" $6985
"ROL B,Y" $69A5
"ROL D,S" $69EB
"ROL D,U" $69CB
"ROL D,X" $698B
"ROL D,Y" $69AB
"ROL s,S" $6960
"ROL s,U" $6940
"ROL s,X" $6900
"ROL s,Y" $6920
"ROL x" $09
"ROL x,PCR" $698C
"ROL x,S" $69E8
"ROL x,U" $69C8
"ROL x,X" $6988
"ROL x,Y" $69A8
"ROL,--S" $69E3
"ROL,--U" $69C3
"ROL,--X" $6983
"ROL,--Y" $69A3
"ROL,-S" $69E2
"ROL,-U" $69C2
"ROL,-X" $6982
"ROL,-Y" $69A2
"ROL,S" $69E4
"ROL,S+" $69E0
"ROL,S++" $69E1
"ROL,U" $69C4
"ROL,U+" $69C0
"ROL,U++" $69C1
"ROL,X" $6984
"ROL,X+" $6980
"ROL,X++" $6981
"ROL,Y" $69A4
"ROL,Y+" $69A0
"ROL,Y++" $69A1
"ROLA" $49
"ROLB" $59
"ROR (,--S)" $66F3
"ROR (,--U)" $66D3
"ROR (,--X)" $6693
"ROR (,--Y)" $66B3
"ROR (,S)" $66F4
"ROR (,S++)" $66F1
"ROR (,U)" $66D4
"ROR (,U++)" $66D1
"ROR (,X)" $6694
"ROR (,X++)" $6691
"ROR (,Y)" $66B4
"ROR (,Y++)" $66B1
"ROR (?)" $669F
"ROR (?,PCR)" $669D
"ROR (?,S)" $66F9
"ROR (?,U)" $66D9
"ROR (?,X)" $6699
"ROR (?,Y)" $66B9
"ROR (A,S)" $66F6
"ROR (A,U)" $66D6
"ROR (A,X)" $6696
"ROR (A,Y)" $66B6
"ROR (B,S)" $66F5
"ROR (B,U)" $66D5
"ROR (B,X)" $6695
"ROR (B,Y)" $66B5
"ROR (D,S)" $66FB
"ROR (D,U)" $66DB
"ROR (D,X)" $669B
"ROR (D,Y)" $66BB
"ROR (x,PCR)" $669C
"ROR (x,S)" $66F8
"ROR (x,U)" $66D8
"ROR (x,X)" $6698
"ROR (x,Y)" $66B8
"ROR ?" $76
"ROR ?,PCR" $668D
"ROR ?,S" $66E9
"ROR ?,U" $66C9
"ROR ?,X" $6689
"ROR ?,Y" $66A9
"ROR A,S" $66E6
"ROR A,U" $66C6
"ROR A,X" $6686
"ROR A,Y" $66A6
"ROR B,S" $66E5
"ROR B,U" $66C5
"ROR B,X" $6685
"ROR B,Y" $66A5
"ROR D,S" $66EB
"ROR D,U" $66CB
"ROR D,X" $668B
"ROR D,Y" $66AB
"ROR s,S" $6660
"ROR s,U" $6640
"ROR s,X" $6600
"ROR s,Y" $6620
"ROR x" $06
"ROR x,PCR" $668C
"ROR x,S" $66E8
"ROR x,U" $66C8
"ROR x,X" $6688
"ROR x,Y" $66A8
"ROR,--S" $66E3
"ROR,--U" $66C3
"ROR,--X" $6683
"ROR,--Y" $66A3
"ROR,-S" $66E2
"ROR,-U" $66C2
"ROR,-X" $6682
"ROR,-Y" $66A2
"ROR,S" $66E4
"ROR,S+" $66E0
"ROR,S++" $66E1
"ROR,U" $66C4
"ROR,U+" $66C0
"ROR,U++" $66C1
"ROR,X" $6684
"ROR,X+" $6680
"ROR,X++" $6681
"ROR,Y" $66A4
"ROR,Y+" $66A0
"ROR,Y++" $66A1
"RORA" $46
"RORB" $56
"RTI" $3B
"RTS" $39
"SBCA #x" $82
"SBCA (,--S)" $A2F3
"SBCA (,--U)" $A2D3
"SBCA (,--X)" $A293
"SBCA (,--Y)" $A2B3
"SBCA (,S)" $A2F4
"SBCA (,S++)" $A2F1
"SBCA (,U)" $A2D4
"SBCA (,U++)" $A2D1
"SBCA (,X)" $A294
"SBCA (,X++)" $A291
"SBCA (,Y)" $A2B4
"SBCA (,Y++)" $A2B1
